Sample,presentRate.mean,presentRate.sterr,idealRate.mean
LR136554,0.04243000,0.00058062,0.04409000
WH928128,0.06788000,0.00077729,0.07923000
KB960411,0.03975000,0.00052689,0.04859000
IH002321,0.09789000,0.00086210,0.11217000
HT275463,0.04242000,0.00076271,0.04979000
AQ286794,0.08687000,0.00074611,0.09460000
VK425379,0.09036000,0.00102623,0.09327000
FH814563,0.03894000,0.00080928,0.04073000
DS020834,0.05702000,0.00063697,0.06226000
QI713515,0.06521000,0.00115657,0.08265000
IK662613,0.06188000,0.00089626,0.06794000
CD689551,0.09369000,0.00091947,0.10842000
OD111817,0.04278000,0.00052277,0.04353000
LS167399,0.04641000,0.00039957,0.04691000
EL499261,0.08426000,0.00079947,0.08931000
BD241560,0.08516000,0.00077977,0.08741000
WJ952117,0.04731000,0.00053964,0.04793000
YR990519,0.09146000,0.00094448,0.13717000
JL090305,0.07409000,0.00075520,0.08358000
VK851705,0.07619000,0.00074527,0.07803000
WE602111,0.05173000,0.00042845,0.05484000
DL240387,0.03358000,0.00057326,0.03503000
SE949393,0.08090000,0.00099096,0.09777000
VK102917,0.07876000,0.00068867,0.08920000
EX315834,0.05294000,0.00040227,0.05491000
GD961875,0.06784000,0.00042484,0.07346000
GJ549646,0.06197000,0.00080028,0.07015000
YL846622,0.08788000,0.00066580,0.10791000
TJ956009,0.07686000,0.00090421,0.07949000
PL020321,0.08717000,0.00087598,0.10983000
OP960829,0.10660000,0.00097114,0.12784000
IN807029,0.08083000,0.00089605,0.10284000
ZV102948,0.03805000,0.00033175,0.04130000
HV623240,0.06746000,0.00093953,0.08495000
IB174035,0.07972000,0.00077112,0.09063000
NA945383,0.05466000,0.00082127,0.05755000
AE200159,0.05457000,0.00045290,0.05750000
HG070027,0.08157000,0.00104276,0.08449000
PH640297,0.08229000,0.00058051,0.09648000
FD411530,0.06128000,0.00068537,0.06947000
RI929197,0.06687000,0.00068703,0.07211000
GS234640,0.05101000,0.00061544,0.05668000
TZ388736,0.05687000,0.00096621,0.06443000
HR904519,0.08506000,0.00093193,0.09399000
MQ748114,0.08157000,0.00104276,0.08449000
YD623028,0.06092000,0.00080868,0.06433000
QV517854,0.08535000,0.00109151,0.09465000
OM156383,0.09466000,0.00096150,0.10536000
DO395401,0.05737000,0.00083520,0.06229000
ED236873,0.03771000,0.00029077,0.03955000
LQ491699,0.06156000,0.00076423,0.07047000
RH138187,0.09366000,0.00112163,0.11064000
JE984424,0.03095000,0.00039080,0.03265000
HN039410,0.08879000,0.00076412,0.10008000
LR229562,0.03197000,0.00051598,0.03238000
WA186194,0.05946000,0.00067069,0.06329000
ES387661,0.06673000,0.00051684,0.07174000
AE162231,0.08724000,0.00077920,0.10070000
AH329297,0.07651000,0.00079881,0.08373000
VB175191,0.06702000,0.00066296,0.07493000
YX309246,0.04192000,0.00078440,0.04463000
RC276819,0.06928000,0.00089923,0.09661000
DT499956,0.05762000,0.00054340,0.06386000
GS256044,0.06420000,0.00071864,0.06658000
TO930220,0.04418000,0.00060769,0.04675000
YF920516,0.07202000,0.00056839,0.08804000
IN573123,0.06891000,0.00086672,0.08394000
TG765862,0.08383000,0.00061699,0.09996000
OV436909,0.05461000,0.00077909,0.06257000
UA206372,0.07099000,0.00091024,0.07542000
OX953757,0.08100000,0.00096942,0.09886000
PJ953909,0.06474000,0.00060995,0.08063000
XA307833,0.07534000,0.00050907,0.08074000
JX834810,0.06920000,0.00097422,0.08303000
YQ490591,0.08836000,0.00088295,0.10890000
QZ553792,0.08186000,0.00077017,0.08355000
MF150507,0.04481000,0.00044658,0.04514000
PG599368,0.09636000,0.00081883,0.11817000
LE993613,0.06838000,0.00069726,0.06885000
LS244934,0.06153000,0.00094057,0.06671000
EW664244,0.09328000,0.00105090,0.09977000
NK732633,0.05011000,0.00042725,0.06395000
HP971166,0.06790000,0.00081281,0.07220000
WD007754,0.07893000,0.00109889,0.08633000
OE782061,0.04208000,0.00056071,0.04926000
DD060789,0.07823000,0.00121381,0.08674000
RA911363,0.04789000,0.00065055,0.06271000
CV324207,0.05415000,0.00065494,0.05940000
RV653854,0.07707000,0.00071757,0.08545000
MM502191,0.02072000,0.00035144,0.02114000
TY080273,0.08934000,0.00077491,0.10624000
CF668249,0.06839000,0.00071250,0.08757000
HI514659,0.06327000,0.00067677,0.08440000
RY826164,0.08826000,0.00075956,0.09875000
GK989158,0.07921000,0.00066757,0.09163000
RF088631,0.05458000,0.00044716,0.06342000
BX552244,0.09538000,0.00093379,0.12199000
HT859944,0.06468000,0.00099026,0.08397000
OF320000,0.03412000,0.00046876,0.04640000
UC505968,0.13239000,0.00093410,0.17512000
SV274110,0.04795000,0.00045271,0.04885000
XE015183,0.07373000,0.00093524,0.08093000
IY101457,0.07074000,0.00074747,0.07302000
OA243943,0.03554000,0.00028174,0.03607000
GV237003,0.11068000,0.00069343,0.14723000
QM933384,0.07419000,0.00081397,0.07687000
BF819843,0.06268000,0.00075215,0.07449000
KV679102,0.06379000,0.00080408,0.06641000
WW331877,0.08594000,0.00058428,0.08808000
HI004568,0.07867000,0.00094246,0.08865000
OW964109,0.05852000,0.00081565,0.06335000
UB602657,0.07188000,0.00075186,0.11016000
ND701493,0.05544000,0.00051060,0.05831000
ND919429,0.05835000,0.00080750,0.06708000
LH998687,0.05310000,0.00115614,0.06177000
MX747377,0.07773000,0.00096840,0.08174000
EJ342170,0.06313000,0.00059480,0.06494000
RR251424,0.05406000,0.00073518,0.05829000
AY135758,0.07833000,0.00077775,0.08939000
YD425234,0.12406000,0.00059165,0.20363000
TO095715,0.03856000,0.00049893,0.04265000
NE782263,0.07190000,0.00066383,0.08820000
KN798898,0.07284000,0.00080777,0.08657000
IR692253,0.02716000,0.00065425,0.02766000
YH996041,0.06615000,0.00053733,0.06716000
VT397227,0.06980000,0.00059217,0.07705000
JI889906,0.09454000,0.00092691,0.10471000
OR646732,0.07038000,0.00052447,0.08425000
UD537460,0.07559000,0.00079225,0.09493000
LM227756,0.10006000,0.00088546,0.14583000
VW330608,0.06856000,0.00070304,0.07869000
MC345007,0.08083000,0.00089605,0.10284000
BC681957,0.06669000,0.00096959,0.06956000
MS303882,0.05689000,0.00093112,0.05899000
ZY851796,0.05418000,0.00108010,0.05475000
DE743683,0.08788000,0.00050592,0.10069000
XC690073,0.08758000,0.00103921,0.10462000
LI926221,0.05536000,0.00071604,0.06556000
SK041077,0.05436000,0.00067990,0.05980000
BU012611,0.05830000,0.00095951,0.07466000
JK338812,0.07314000,0.00086951,0.07897000
LM615085,0.06181000,0.00100636,0.06386000
GG838274,0.05109000,0.00075784,0.05194000
CK759649,0.08680000,0.00080250,0.09351000
PR346356,0.09639000,0.00109468,0.11423000
TG872084,0.06354000,0.00106293,0.07027000
WB544363,0.02072000,0.00035144,0.02114000
HU011383,0.06443000,0.00091604,0.08969000
OZ964185,0.08300000,0.00081391,0.09725000
BX967817,0.07765000,0.00086926,0.09669000
KZ583833,0.10495000,0.00071231,0.13137000
GB398563,0.06561000,0.00095108,0.07144000
WW668436,0.08007000,0.00080513,0.09308000
VK845635,0.03801000,0.00052248,0.04133000
KS136792,0.08331000,0.00099090,0.09146000
RT578755,0.07335000,0.00063949,0.08672000
AI716687,0.08109000,0.00079407,0.10616000
EP826889,0.05959000,0.00048704,0.07232000
DE217723,0.08744000,0.00099311,0.09150000
EM140795,0.08437000,0.00105135,0.09622000
FE593501,0.05415000,0.00065494,0.05940000
FJ722993,0.06305000,0.00076858,0.07410000
FL700026,0.10430000,0.00098002,0.11731000
NT293292,0.07513000,0.00084275,0.07873000
GW362077,0.02072000,0.00035144,0.02114000
QS331947,0.07453000,0.00092232,0.12673000
AH761070,0.06305000,0.00050996,0.07220000
FB523718,0.07638000,0.00090576,0.09372000
NJ637519,0.04607000,0.00083174,0.05284000
TP649659,0.08506000,0.00093193,0.09399000
BF585566,0.07260000,0.00069761,0.09125000
IK895715,0.09396000,0.00100534,0.13325000
EI131873,0.07904000,0.00071106,0.09718000
FW803759,0.06344000,0.00067069,0.07543000
GW946602,0.08728000,0.00100629,0.09564000
PZ923250,0.06984000,0.00091253,0.07977000
ZJ847611,0.06505000,0.00076830,0.07467000
BW398128,0.08903000,0.00094010,0.10507000
FG408326,0.07121000,0.00057222,0.07419000
PD448224,0.08534000,0.00075648,0.09784000
IS872618,0.05700000,0.00097022,0.05922000
LR744370,0.02699000,0.00052945,0.02884000
PW748829,0.08617000,0.00101621,0.08884000
JW229525,0.09176000,0.00088897,0.10727000
NR471516,0.11084000,0.00093264,0.13984000
XM766857,0.08602000,0.00085904,0.09671000
YV996814,0.04310000,0.00053146,0.04495000
QR822407,0.08779000,0.00077308,0.09385000
RF041334,0.05684000,0.00063722,0.05990000
SP588250,0.09588000,0.00111154,0.11184000
SS128035,0.07687000,0.00112705,0.12129000
WN367297,0.08701000,0.00091608,0.10104000
YG152378,0.09310000,0.00065845,0.10304000
NY093664,0.06799000,0.00061109,0.07944000
BC811776,0.04756000,0.00065425,0.04917000
CB764271,0.04920000,0.00080843,0.05379000
DB559032,0.05294000,0.00063389,0.05832000
HC203191,0.06523000,0.00085661,0.06858000
OS427829,0.02072000,0.00035144,0.02114000
VR485557,0.05375000,0.00057043,0.05688000
XU013435,0.06777000,0.00061555,0.07402000
YA270966,0.08977000,0.00087522,0.09725000
KQ222690,0.06933000,0.00090075,0.08231000
RR191649,0.09554000,0.00105601,0.11030000
ZJ250921,0.06247000,0.00060130,0.07305000
DE029388,0.04588000,0.00082000,0.05086000
GS420214,0.10030000,0.00090676,0.11164000
IL444062,0.08506000,0.00061159,0.09247000
RA263407,0.07682000,0.00076562,0.09225000
RP070224,0.08969000,0.00121732,0.11027000
TF488143,0.07196000,0.00082881,0.07302000
TF785669,0.09872000,0.00121553,0.11059000
UK971155,0.05805000,0.00069590,0.06614000
WQ120057,0.06224000,0.00074195,0.06769000
BR374139,0.10011000,0.00101800,0.13337000
DD361465,0.05445000,0.00051104,0.06003000
GZ425566,0.04226000,0.00057777,0.04506000
HO127075,0.05852000,0.00081565,0.06335000
OT254694,0.05786000,0.00046481,0.06382000
QV527200,0.07765000,0.00088835,0.08362000
TH564442,0.02853000,0.00040140,0.02932000
ZP620505,0.08344000,0.00061702,0.10340000
IN021880,0.07598000,0.00082189,0.07902000
JP245287,0.05458000,0.00044716,0.06342000
JX534724,0.04672000,0.00048712,0.05182000
MF335699,0.05987000,0.00074387,0.07342000
NK472415,0.12363000,0.00064585,0.14571000
OE799834,0.08216000,0.00103690,0.12341000
OM501087,0.05646000,0.00066135,0.05890000
XX353415,0.05072000,0.00064218,0.05536000
HK376614,0.06546000,0.00080529,0.07457000
IF324640,0.09489000,0.00104535,0.11440000
KB724373,0.08516000,0.00081978,0.11242000
OJ108820,0.07498000,0.00079089,0.07928000
RT756250,0.05601000,0.00091790,0.07483000
TX830700,0.06119000,0.00073052,0.07212000
WI841389,0.10201000,0.00089548,0.11392000
ZP418201,0.06920000,0.00059330,0.07975000
ZU021130,0.08292000,0.00095903,0.08535000
DA179245,0.05169000,0.00088248,0.05740000
EZ592112,0.10054000,0.00096944,0.10458000
KT781325,0.04970000,0.00082999,0.05183000
NU094987,0.06187000,0.00075484,0.07024000
RE682184,0.07908000,0.00081333,0.08560000
TX092727,0.05939000,0.00070859,0.07887000
UB564651,0.06259000,0.00060396,0.06687000
VW357743,0.04631000,0.00065633,0.04939000
YA688084,0.04988000,0.00065690,0.05946000
CC632903,0.06154000,0.00087295,0.07143000
GV588013,0.09881000,0.00061055,0.11034000
HX366182,0.03110000,0.00044845,0.03216000
JJ949081,0.07232000,0.00076577,0.08488000
OR866491,0.03365000,0.00055182,0.03503000
RV811068,0.10331000,0.00094944,0.12908000
TW125733,0.03064000,0.00029484,0.03897000
AZ957907,0.08523000,0.00088632,0.09999000
FF392752,0.07445000,0.00072484,0.07987000
FO996647,0.02534000,0.00044176,0.02536000
TS839271,0.05565000,0.00046981,0.05661000
UK533610,0.05815000,0.00064932,0.06077000
UQ148407,0.02072000,0.00035144,0.02114000
ZP246475,0.05645000,0.00069702,0.05857000
KR586940,0.04634000,0.00063669,0.04848000
LS271625,0.09588000,0.00111154,0.11184000
NI627069,0.09282000,0.00115459,0.13266000
PD519263,0.10158000,0.00103964,0.12189000
RK555724,0.08708000,0.00103643,0.09187000
UQ753932,0.06801000,0.00051821,0.07786000
YI876909,0.06706000,0.00063372,0.07513000
EH052498,0.02982000,0.00047814,0.03540000
HB171494,0.02343000,0.00054325,0.02374000
HY420730,0.04323000,0.00032457,0.04417000
SM106076,0.04543000,0.00081446,0.05468000
XJ302031,0.06912000,0.00079075,0.10387000
XJ364453,0.09109000,0.00115031,0.10350000
BL021996,0.08948000,0.00095508,0.12178000
CN050789,0.03977000,0.00049600,0.04849000
EO236447,0.06807000,0.00075396,0.09064000
ME175230,0.06138000,0.00069758,0.06180000
MX600877,0.07513000,0.00084420,0.08274000
TO021548,0.09183000,0.00054854,0.09868000
VC243698,0.07514000,0.00061250,0.07808000
YD777623,0.07894000,0.00090064,0.09303000
YT816084,0.07608000,0.00086304,0.09264000
ZK930604,0.05511000,0.00070340,0.06636000
ZM436268,0.04874000,0.00062258,0.05174000
ZN669436,0.04045000,0.00105127,0.04221000
AK398732,0.06995000,0.00078120,0.08194000
DM247664,0.05458000,0.00044716,0.06342000
GB961648,0.06148000,0.00067228,0.06882000
LH544200,0.04200000,0.00060406,0.04806000
LQ635575,0.08402000,0.00097728,0.09639000
PV718637,0.05199000,0.00051628,0.05223000
QC207302,0.09487000,0.00105705,0.10154000
SH764427,0.06263000,0.00068476,0.07022000
ZG143121,0.05230000,0.00080884,0.05848000
BZ683679,0.05407000,0.00078952,0.05762000
DO813858,0.06793000,0.00090689,0.09215000
GJ373999,0.04530000,0.00044146,0.04712000
GX055672,0.05016000,0.00042536,0.05110000
IW603773,0.06512000,0.00087937,0.08066000
MW215777,0.10005000,0.00087639,0.11984000
SM334656,0.07423000,0.00038731,0.07808000
TP561311,0.08540000,0.00121216,0.09976000
VX282680,0.03902000,0.00057093,0.04849000
VZ379970,0.06200000,0.00070836,0.06236000
AQ234293,0.08302000,0.00085463,0.09227000
BR404154,0.08844000,0.00077146,0.13116000
DU521291,0.08927000,0.00096966,0.11047000
EZ372884,0.09870000,0.00092328,0.12562000
HO314880,0.10528000,0.00090968,0.15202000
JC025622,0.10008000,0.00062660,0.11982000
NE722159,0.07941000,0.00078563,0.12882000
OU097839,0.08300000,0.00081391,0.09725000
TF774146,0.08960000,0.00092856,0.10291000
VE454857,0.06011000,0.00086916,0.06231000
XE884868,0.06505000,0.00076830,0.07467000
ZE129370,0.08263000,0.00087509,0.10282000
ZE213131,0.10521000,0.00081737,0.12152000
DB788312,0.08197000,0.00075101,0.09701000
NL327469,0.08168000,0.00109705,0.09329000
NW860530,0.09476000,0.00087346,0.11307000
OW683720,0.09999000,0.00103692,0.10774000
PX847610,0.09783000,0.00062219,0.10832000
QH692221,0.06040000,0.00105536,0.06192000
UE728227,0.07220000,0.00082919,0.10064000
UW595893,0.07947000,0.00086859,0.08927000
XK080812,0.04305000,0.00038593,0.04453000
CW049799,0.07208000,0.00058534,0.07767000
DR673373,0.02309000,0.00053551,0.02343000
NI498165,0.04921000,0.00059056,0.05188000
NU583295,0.08970000,0.00088204,0.11067000
PJ173593,0.08078000,0.00093271,0.11545000
PV847859,0.06908000,0.00087760,0.07248000
PX688045,0.09430000,0.00060388,0.11121000
RC915805,0.08154000,0.00083349,0.09584000
SG503340,0.07819000,0.00081137,0.09174000
TH039944,0.09328000,0.00118657,0.11157000
TP130607,0.03997000,0.00052790,0.04272000
VO020126,0.05458000,0.00044716,0.06342000
WK971939,0.02072000,0.00035144,0.02114000
YV503688,0.03924000,0.00050491,0.05134000
BA636244,0.08808000,0.00105870,0.09320000
BM256386,0.03460000,0.00051919,0.04188000
BT364903,0.06948000,0.00060421,0.07335000
CQ365110,0.07362000,0.00091309,0.09182000
DU909576,0.05866000,0.00083336,0.06340000
EK320634,0.06553000,0.00083427,0.07057000
EV854604,0.05458000,0.00044716,0.06342000
GX642946,0.07818000,0.00077643,0.09908000
KH191548,0.07987000,0.00080843,0.09050000
KX950195,0.07179000,0.00068548,0.07621000
OQ394665,0.07707000,0.00071757,0.08545000
PD027960,0.06853000,0.00072450,0.09711000
PX578748,0.05882000,0.00076924,0.07328000
RG945840,0.08349000,0.00092682,0.09686000
SP021117,0.05070000,0.00054508,0.05324000
TE855191,0.09881000,0.00061055,0.11034000
VZ661197,0.07569000,0.00077208,0.12230000
XV950799,0.08540000,0.00121216,0.09976000
ZE182555,0.10745000,0.00106638,0.12140000
AR843502,0.08766000,0.00071867,0.10744000
DY577205,0.03901000,0.00078038,0.03980000
FL158584,0.05466000,0.00082127,0.05755000
GA026392,0.08414000,0.00099936,0.08725000
HV618060,0.08798000,0.00084654,0.10471000
IG053882,0.06538000,0.00070329,0.07087000
KZ373856,0.08411000,0.00075018,0.10200000
OF215282,0.06797000,0.00043616,0.07485000
OG884951,0.05931000,0.00056617,0.07290000
PN375315,0.09138000,0.00079775,0.10998000
PV753450,0.08309000,0.00078208,0.09627000
SC680835,0.04586000,0.00062097,0.04932000
SC857468,0.07362000,0.00075833,0.08062000
TD169754,0.08520000,0.00072786,0.09770000
UR220432,0.09487000,0.00083627,0.11365000
VS987443,0.07671000,0.00065123,0.09811000
YZ765266,0.09871000,0.00085926,0.11046000
ZC277272,0.07076000,0.00071480,0.07466000
AI419880,0.06213000,0.00035310,0.07275000
EQ427020,0.07351000,0.00085107,0.08218000
FE789562,0.05669000,0.00053902,0.06234000
GY753639,0.07264000,0.00094436,0.10821000
IK672558,0.07012000,0.00069503,0.08340000
IV940855,0.07247000,0.00052685,0.08218000
KH410745,0.06322000,0.00082554,0.06564000
MT645316,0.04371000,0.00047269,0.05312000
OS835316,0.04163000,0.00057466,0.04411000
PH153703,0.05594000,0.00082667,0.05820000
SU802799,0.07401000,0.00091511,0.08001000
TW199824,0.05722000,0.00070708,0.06072000
UH905646,0.05568000,0.00068957,0.06411000
WH068307,0.07181000,0.00071421,0.08262000
XQ654957,0.04250000,0.00049464,0.04554000
YC912629,0.06338000,0.00094408,0.06789000
ZI588054,0.09898000,0.00086240,0.11454000
ZX742344,0.07513000,0.00084275,0.07873000
BP367380,0.07774000,0.00068284,0.09457000
DZ958878,0.11974000,0.00086219,0.14440000
GR856721,0.02396000,0.00051515,0.02498000
HH642834,0.05822000,0.00097807,0.06412000
JW331281,0.07046000,0.00107850,0.11311000
LD541574,0.06201000,0.00070355,0.06989000
MD017290,0.03735000,0.00061667,0.04358000
MW651937,0.08786000,0.00104999,0.10595000
OZ442015,0.10209000,0.00091863,0.13431000
RU189416,0.05618000,0.00054910,0.05734000
TS854723,0.05226000,0.00088822,0.05465000
UJ633658,0.05885000,0.00070966,0.06320000
UL388657,0.03624000,0.00041020,0.04011000
WG479585,0.05040000,0.00087433,0.05097000
AH954476,0.04265000,0.00055922,0.04852000
CW247724,0.06395000,0.00099814,0.06914000
DT197689,0.04450000,0.00046308,0.04576000
EO439129,0.05414000,0.00071991,0.05916000
GB346707,0.06614000,0.00090249,0.07359000
IN703823,0.08183000,0.00061843,0.11731000
MV401545,0.06686000,0.00078134,0.07665000
PE291148,0.03665000,0.00055762,0.03895000
PM383343,0.06130000,0.00036998,0.06790000
TR249275,0.07821000,0.00083126,0.08881000
WC440856,0.03052000,0.00065554,0.04620000
WX598960,0.07406000,0.00091290,0.07992000
YE912753,0.07006000,0.00116878,0.08517000
YU883868,0.01608000,0.00034570,0.01702000
YY988865,0.07535000,0.00080073,0.08160000
YZ113825,0.05982000,0.00051635,0.06849000
ZE100444,0.07743000,0.00094211,0.10810000
ZT370662,0.09562000,0.00073979,0.10926000
CU577679,0.04254000,0.00071137,0.04693000
JJ451223,0.08253000,0.00086140,0.10408000
LL341780,0.05646000,0.00084606,0.06659000
MM334107,0.10610000,0.00079092,0.11659000
MT926683,0.05436000,0.00067990,0.05980000
PA328028,0.02651000,0.00046247,0.02706000
PW579192,0.06964000,0.00080294,0.07822000
RF326353,0.11659000,0.00086403,0.15625000
SL233608,0.04597000,0.00078769,0.05341000
SM717841,0.06894000,0.00095268,0.07521000
TA620796,0.08875000,0.00095432,0.09278000
VY234263,0.06279000,0.00050694,0.06643000
WG852822,0.05938000,0.00076053,0.06120000
YV942117,0.05756000,0.00070146,0.06180000
ZJ820780,0.06366000,0.00051299,0.06901000
AI663614,0.09263000,0.00097183,0.16034000
CD455638,0.09774000,0.00107778,0.14831000
CG203297,0.05004000,0.00097675,0.05553000
DM486141,0.06088000,0.00088554,0.06820000
EK931793,0.09941000,0.00084149,0.11107000
HC293273,0.06712000,0.00084338,0.07475000
IB756171,0.09774000,0.00107778,0.14831000
KD258411,0.03747000,0.00037329,0.03798000
OC866849,0.03024000,0.00068608,0.03101000
RL299291,0.09933000,0.00073152,0.10690000
YB400702,0.04834000,0.00071960,0.05410000
YB599485,0.07492000,0.00076504,0.07739000
YD008671,0.06008000,0.00066145,0.06292000
YN251276,0.08766000,0.00071867,0.10744000
AD875088,0.02350000,0.00046308,0.03165000
BG455363,0.03217000,0.00066651,0.03833000
BX707409,0.11208000,0.00099172,0.13019000
BY656262,0.07260000,0.00078669,0.07399000
CU241212,0.04821000,0.00067304,0.05367000
DC116601,0.04533000,0.00047983,0.05356000
FN036373,0.06620000,0.00081021,0.07275000
FQ591029,0.07876000,0.00068867,0.08920000
GX642098,0.08461000,0.00076325,0.09730000
JQ503820,0.04710000,0.00049598,0.05209000
KT271657,0.04983000,0.00082003,0.05936000
LE923094,0.03288000,0.00055833,0.03369000
OZ370159,0.03773000,0.00036880,0.04321000
PW995997,0.09072000,0.00095531,0.09784000
QK851300,0.06049000,0.00091633,0.06812000
ZK094596,0.04899000,0.00090375,0.05134000
CC702072,0.09370000,0.00077717,0.10733000
CH796273,0.04666000,0.00069844,0.05264000
EL247113,0.09562000,0.00073979,0.10926000
EP440324,0.07951000,0.00086171,0.10671000
FU946944,0.09300000,0.00088719,0.10365000
FY552297,0.05474000,0.00039922,0.06215000
HE368595,0.09765000,0.00106032,0.13374000
HJ778699,0.09676000,0.00089009,0.11651000
HM524670,0.03718000,0.00053765,0.04142000
IQ442756,0.09174000,0.00075560,0.13063000
JD423803,0.09143000,0.00084997,0.12327000
JI639707,0.08840000,0.00091007,0.09658000
KG964615,0.05537000,0.00055858,0.05813000
KT138482,0.04142000,0.00080799,0.04788000
KZ477043,0.06941000,0.00071871,0.07847000
NP845180,0.04838000,0.00050964,0.05311000
NS410554,0.04784000,0.00076843,0.04905000
OW705404,0.04394000,0.00053379,0.05231000
PB770726,0.08882000,0.00085073,0.10531000
TV538691,0.09098000,0.00073103,0.09982000
UZ818372,0.05534000,0.00106147,0.07123000
WX037861,0.09249000,0.00071000,0.11276000
XS233951,0.12868000,0.00094561,0.15090000
YI335108,0.08538000,0.00074473,0.10403000
ZG039934,0.08187000,0.00084368,0.08486000
DJ241021,0.04567000,0.00047071,0.05025000
DL894556,0.06094000,0.00076916,0.07377000
EF262650,0.04651000,0.00056104,0.04745000
FJ315360,0.02651000,0.00046247,0.02706000
FR397048,0.06922000,0.00069949,0.07930000
GK275052,0.05661000,0.00085667,0.06091000
HG173625,0.05661000,0.00068742,0.05895000
HH607905,0.07264000,0.00083443,0.07642000
IB028541,0.09524000,0.00063407,0.09774000
IK737288,0.05458000,0.00044716,0.06342000
IZ882356,0.04481000,0.00044658,0.04514000
JM917596,0.09500000,0.00072465,0.11708000
KC683122,0.01712000,0.00042578,0.01742000
KG865106,0.04592000,0.00053909,0.04779000
LI329268,0.08766000,0.00071867,0.10744000
MP310830,0.09571000,0.00070545,0.10354000
MW707685,0.07023000,0.00072173,0.07840000
MY935343,0.07901000,0.00098966,0.12984000
RH600784,0.08727000,0.00082772,0.12125000
RK158581,0.03262000,0.00053951,0.03322000
SI657615,0.06777000,0.00061555,0.07402000
UJ858608,0.08611000,0.00073173,0.10502000
UT194883,0.04257000,0.00070790,0.04279000
VU236547,0.08297000,0.00072404,0.10157000
YB335119,0.04644000,0.00062293,0.04902000
ZT695305,0.07875000,0.00103722,0.10162000
BG557112,0.09806000,0.00074717,0.10786000
CB360697,0.07538000,0.00068828,0.09728000
DY566466,0.05080000,0.00048120,0.05575000
FD268208,0.05930000,0.00060937,0.06217000
GD049509,0.05468000,0.00114385,0.06352000
IV980629,0.10860000,0.00097798,0.12253000
KF271493,0.01848000,0.00048093,0.02005000
LK714581,0.08669000,0.00070623,0.10562000
MT578443,0.08091000,0.00074004,0.08569000
MT610848,0.03854000,0.00036944,0.04404000
NP594656,0.07763000,0.00094458,0.10223000
NY608269,0.08938000,0.00096768,0.10229000
OE704083,0.07515000,0.00079502,0.09295000
ON459466,0.05642000,0.00072431,0.06211000
PL375255,0.04511000,0.00083313,0.05265000
QF486379,0.10260000,0.00074177,0.13149000
QO131046,0.05289000,0.00065259,0.05562000
QZ214610,0.03951000,0.00044158,0.04090000
RS498156,0.08509000,0.00092849,0.09738000
TY648092,0.09343000,0.00082449,0.13830000
UW635468,0.08629000,0.00087311,0.12728000
VT365111,0.06426000,0.00116602,0.07591000
WB570014,0.05275000,0.00067235,0.06053000
WM142326,0.09694000,0.00087435,0.11106000
XC744092,0.05682000,0.00113263,0.06062000
YA003885,0.04786000,0.00043287,0.04938000
ZH374437,0.04572000,0.00064495,0.04667000
AJ588466,0.03463000,0.00045730,0.03566000
CJ942524,0.06194000,0.00095722,0.06915000
DR880178,0.06780000,0.00080457,0.07008000
EI492052,0.07151000,0.00061868,0.08943000
FA457711,0.08633000,0.00106719,0.10297000
FV068094,0.05017000,0.00054264,0.05036000
GY675187,0.10103000,0.00079065,0.10797000
HD432932,0.07238000,0.00095903,0.07774000
MR283895,0.07915000,0.00104033,0.09288000
NH936650,0.02438000,0.00040188,0.03317000
PS172901,0.07116000,0.00083589,0.09019000
QZ305528,0.10223000,0.00072481,0.12038000
RM606755,0.09119000,0.00075857,0.10180000
SF663454,0.02933000,0.00030986,0.02947000
SL376792,0.08652000,0.00092590,0.09915000
TP431425,0.05537000,0.00055858,0.05813000
TU246190,0.06243000,0.00054059,0.06541000
WL781475,0.05356000,0.00087219,0.05462000
WM370639,0.04310000,0.00065149,0.05113000
WQ553952,0.07431000,0.00086274,0.08444000
XH115119,0.07871000,0.00078761,0.08683000
YO621057,0.09292000,0.00073814,0.09875000
AN056765,0.09329000,0.00112244,0.10695000
AO895857,0.09088000,0.00117225,0.09600000
BA321062,0.05005000,0.00097402,0.05025000
BD574032,0.02651000,0.00035417,0.02749000
BZ275325,0.05877000,0.00080070,0.06157000
CR081968,0.02372000,0.00043328,0.02911000
EX155661,0.06699000,0.00071250,0.06950000
GP968505,0.06823000,0.00074656,0.07073000
IP840936,0.07188000,0.00044442,0.07552000
NE560956,0.05974000,0.00065510,0.06247000
NF005757,0.05625000,0.00042511,0.06042000
OL416633,0.02877000,0.00034353,0.03014000
OP518972,0.05592000,0.00092217,0.05657000
OR099414,0.07128000,0.00071193,0.07994000
OS252841,0.04211000,0.00054333,0.04597000
OW781235,0.05458000,0.00044716,0.06342000
PN231718,0.05622000,0.00063645,0.05684000
SZ972064,0.06492000,0.00087785,0.07191000
TH038973,0.04614000,0.00048263,0.05541000
VK243562,0.09796000,0.00086052,0.13741000
XM411141,0.05835000,0.00073322,0.06231000
XQ918599,0.02628000,0.00047347,0.03046000
XS919703,0.05407000,0.00068541,0.07508000
XT149820,0.01950000,0.00054467,0.02060000
XV738523,0.04838000,0.00050964,0.05311000
YI008527,0.04172000,0.00035396,0.04793000
YM026555,0.10454000,0.00120768,0.12252000
YQ511961,0.09018000,0.00090711,0.10657000
ZY339428,0.08595000,0.00072698,0.09028000
